,NSE100,ABIRLANUV.NS,ACC.NS,ADANIENT.NS,ADANIPORT.NS,AMBUJACEM.NS,APOLLOHOS.NS,ASHOKLEY.NS,ASIANPAIN.NS,AXISBANK.NS
2012-11-09 16:00:00,,,,,,,1.0,,,
2012-11-12 16:00:00,,,,,,,,,,
2012-11-13 16:00:00,,,,,,,,,,
2012-11-15 16:00:00,,,,,,,,,,
2012-11-16 16:00:00,,,,,,,,,,
2012-11-19 16:00:00,,,,,,,,,,
2012-11-20 16:00:00,,,,,,,,,,
2012-11-21 16:00:00,,,,,,,,,,
2012-11-22 16:00:00,,,,,,,,,,
2012-11-23 16:00:00,,,,,,,,,,
2012-11-26 16:00:00,,,,,,,,,,
2012-11-27 16:00:00,,,,,,,,,,
2012-11-29 16:00:00,,,,,,,,,,
2012-11-30 16:00:00,,,,,,,,,,
2012-12-03 16:00:00,,,,,,,,,,
2012-12-04 16:00:00,,,,,,,,,,
2012-12-05 16:00:00,,,,,,,,,,
2012-12-06 16:00:00,,,,,,,,,,
2012-12-07 16:00:00,,,,,,,,,,
2012-12-10 16:00:00,,,,,,,,,,
2012-12-11 16:00:00,,,,,,,,,,
2012-12-12 16:00:00,,,,,,,,,,
2012-12-13 16:00:00,,,,,,,,,,
2012-12-14 16:00:00,,,,,,,,,,
2012-12-17 16:00:00,,,,,,,,,,
2012-12-18 16:00:00,,,,,,,,,,
2012-12-19 16:00:00,,,,,,,,,,
2012-12-20 16:00:00,,,,,,,,,,
